index	name	party	state	Foreign	Education	Individual property	Financial	Military	Law	Health service	Health expenses	Funds	Public transportation
1227	Griffith	R	VA	2.420913	-2.408124	3.241323	2.150603	-2.307687	0.019877	0.195529	4.121172	0.491703	2.459620
1228	Grimm	R	NY	2.038088	2.293350	1.710866	3.69796	2.100009	1.568105	0.145541	1.494518	1.062543	-0.381512
1229	Guinta	R	NH	3.584667	0.828729	3.19192	2.182487	0.153133	1.33736	1.27232	3.095469	1.05198	-0.159192
1230	Hanabusa	D	HI	-3.424192	-1.418503	-3.945127	-1.320593	2.000068	-1.894394	-0.159511	-4.367157	-2.021113	-0.082056
1231	Hanna	R	NY	1.064200	0.578820	2.733761	3.102871	0.844249	3.138677	1.41824	1.545552	1.422851	-0.216315
1232	Harris	R	MD	3.712319	-3.118452	4.487317	0.233121	-1.76155	2.588223	1.491991	4.542881	0.405824	1.783558
1233	Hartzler	R	MO	3.914317	1.156157	3.658787	1.326277	2.150456	3.87007	0.525973	4.577112	1.108249	1.655704
1234	Hayworth	R	NY	3.468071	1.471149	1.288122	2.146174	2.278097	0.406808	2.785257	1.522031	0.92584	-2.145588
1235	Heck	R	NV	2.975486	0.303571	2.201395	0.839174	-0.273141	0.937413	-0.007873	2.792188	0.735966	0.545161
1236	Herrera Beutler	R	WA	1.333224	-0.303612	2.8074	3.099142	0.418674	0.46729	-1.647569	2.348718	1.294818	0.343590
1237	Huelskamp	R	KS	2.729473	-3.630680	4.621752	0.429861	-4.026808	3.615861	-0.354214	2.551496	4.888202	-2.465793
1238	Huizenga	R	MI	3.286750	-2.077506	6.209412	2.51348	-2.331527	2.138526	3.059757	4.513851	4.194947	-0.607577
1239	Hultgren	R	IL	3.984947	-0.223794	3.357232	1.489187	0.253044	2.269861	0.799779	3.904383	1.566133	0.081795
1240	Hurt	R	VA	4.331373	-0.892722	3.358136	3.01556	-1.841562	0.488357	-0.395095	4.484150	1.806567	1.118272
1241	Johnson	R	OH	3.739928	3.271795	4.254489	3.38933	0.639438	1.453206	-0.082887	3.983372	1.362594	0.575526
1242	Keating	D	MA	-5.101120	-0.963007	-3.448969	-1.064028	-1.659109	-2.010539	-1.490356	-3.409554	-1.232674	1.227935
1243	Kelly	R	PA	3.856902	3.521523	1.416384	3.365579	0.838005	2.689255	-0.271292	4.138779	1.280608	-0.597265
1244	Kinzinger	R	IL	4.009087	2.665958	4.189323	2.68642	-0.618694	0.633422	0.233336	3.245980	1.208502	0.272592
1245	Labrador	R	ID	2.192604	-5.149575	3.24304	0.97581	-3.033776	2.446789	1.239158	3.569157	4.621855	-1.917480
1246	Landry	R	LA	3.227964	-2.156649	4.211928	0.855024	-0.595515	2.778238	1.027137	4.450210	2.360461	-1.044796
1247	Lankford	R	OK	3.375509	0.840073	4.38593	1.964783	0.791356	1.996052	0.727991	4.185645	1.831289	0.450638
1248	Long	R	MO	5.731649	0.652950	2.501842	2.704914	1.089066	2.926007	0.678734	3.918397	2.108095	-0.050968
1249	Marino	R	PA	3.768356	3.469680	2.704743	2.981224	0.706054	1.290323	-0.522716	3.899361	1.334355	0.306879
1250	McKinley	R	WV	3.484928	2.432747	1.203707	0.113167	0.884101	1.538782	1.11557	1.637130	1.643418	2.594923
